CP2_2,,DMSO_1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
649.9512939,-0.08769951761,649.9512939,-0.101828061,
648.9276733,-0.08790595829,648.9276733,-0.09870902449,
648.0499878,-0.08919104934,648.0499878,-0.09957774729,
647.0257568,-0.0861485824,647.0257568,-0.09975784272,
646.0012817,-0.08966336399,646.0012817,-0.09919249266,
644.9764404,-0.09615124017,644.9764404,-0.1047784165,
643.9512939,-0.08767070621,643.9512939,-0.09804709256,
643.0723877,-0.08767514676,643.0723877,-0.09645526111,
642.0466919,-0.09218382835,642.0466919,-0.1025387198,
641.0206909,-0.08510868251,641.0206909,-0.09669081867,
639.9943848,-0.09089288116,639.9943848,-0.0998596698,
638.9677734,-0.0905970484,638.9677734,-0.09893857688,
637.940918,-0.08765936643,637.940918,-0.09882841259,
637.0604858,-0.08883110434,637.0604858,-0.09704509377,
636.03302,-0.08951408416,636.03302,-0.09436395764,
635.005249,-0.08081753552,635.005249,-0.0922402665,
633.9771729,-0.08489247411,633.9771729,-0.09652731568,
632.9487915,-0.09047852457,632.9487915,-0.1002408862,
632.0671387,-0.08811260015,632.0671387,-0.09887167066,
631.038208,-0.08516132087,631.038208,-0.09445431083,
630.0089722,-0.09222318232,630.0089722,-0.09942080081,
628.9794922,-0.08773492277,628.9794922,-0.0955760628,
627.949646,-0.08984016627,627.949646,-0.100287661,
627.0667114,-0.08661539853,627.0667114,-0.09707954526,
626.036377,-0.0895812735,626.036377,-0.1021083668,
625.0057373,-0.09205346555,625.0057373,-0.1012914777,
623.9747925,-0.08950182796,623.9747925,-0.09737922996,
622.9435425,-0.08677013218,622.9435425,-0.1001304761,
622.0593872,-0.08776914328,622.0593872,-0.09998027235,
621.0275879,-0.08757511526,621.0275879,-0.09759820253,
